1917;2019
Alien Resurrection;1997
Alien;1979
Aliens;1986
Alita: Battle Angel;2019
Amadeus;1984
Avatar: The Way of Water;2022
Bigbug;2022
Buffet Froid;1979
Death Proof;2007
Deliverance;1972
Don't Breathe;2016
Don't Look Up;2021
Dune;1984
Evil Dead;2013
Four Rooms;1995
Hereditary;2018
John Wick;2014
Kill Bill: Vol. 1;2003
Kill Bill: Vol. 2;2004
Let the Corpses Tan;2017
Mandy;2018
Maps to the Stars;2014
Mission: Impossible - Fallout;2018
No Country for Old Men;2007
Parasite;2019
Phantom Thread;2017
Piranha 3D;2010
Princess Mononoke;1997
Raw;2016
Snowpiercer;2013
Sorcerer;1977
Spider-Man: Into the Spider-Verse;2018
Spring Breakers;2013
Starman;1984
Swiss Army Man;2016
The Big Short;2015
The Clink of Ice;2010
The Departed;2006
The Endless;2017
The Holy Mountain;1973
The Jesus Rolls;2019
The Mule;2018
The Platform;2019
The Royal Tenenbaums;2001
The Suicide Squad;2021
The Thing;1982
The Void;2016
The Wind Rises;2013
